n; comparisons; ; ; ; ; ; ; ; ; ; swaps; ; ; ; ; ; ; ; ; ; duration;
4700; 5510918; 5520929; 5533978; 5449893; 5568349; 5555844; 5484852; 5570761; 5558725; 5450037; 5506219; 5516230; 5529279; 5445194; 5563650; 5551145; 5480153; 5566062; 5554026; 5445338; 0,018053; 0,019012; 0,017933; 0,017061; 0,017000; 0,010197; 0,015636; 0,015685; 0,015628; 0,013609; 
4800; 5841297; 5794411; 5723956; 5665652; 5785320; 5747990; 5695661; 5816040; 5778407; 5715878; 5836498; 5789612; 5719157; 5660853; 5780521; 5743191; 5690862; 5811241; 5773608; 5711079; 0,019021; 0,018980; 0,018260; 0,018000; 0,018063; 0,013717; 0,023164; 0,019962; 0,019079; 0,016221; 
4900; 5959944; 5965794; 6088135; 6041112; 5985081; 5924066; 6067636; 5999958; 6032139; 5995541; 5955045; 5960895; 6083236; 6036213; 5980182; 5919167; 6062737; 5995059; 6027240; 5990642; 0,018996; 0,021070; 0,019999; 0,018992; 0,020002; 0,008133; 0,015706; 0,017428; 0,029397; 0,013733; 
5000; 6321356; 6277702; 6331054; 6319218; 6245889; 6242407; 6215108; 6301192; 6297907; 6217385; 6316357; 6272703; 6326055; 6314219; 6240890; 6237408; 6210109; 6296193; 6292908; 6212386; 0,021002; 0,020028; 0,021041; 0,020947; 0,019053; 0,013242; 0,015661; 0,015628; 0,015618; 0,015629; 
5100; 6535905; 6463495; 6541570; 6480087; 6510301; 6463114; 6492902; 6439150; 6434519; 6431218; 6530806; 6458396; 6536471; 6474988; 6505202; 6458015; 6487803; 6434051; 6429420; 6426119; 0,023019; 0,020985; 0,021058; 0,021009; 0,013339; 0,015681; 0,015627; 0,015628; 0,031255; 0,020385; 
5200; 6718819; 6770714; 6675782; 6640225; 6657660; 6605393; 6762294; 6825446; 6790813; 6829131; 6713620; 6765515; 6670583; 6635026; 6652461; 6600194; 6757095; 6820247; 6785614; 6823932; 0,022024; 0,023102; 0,022140; 0,021000; 0,017235; 0,015697; 0,015624; 0,015629; 0,029129; 0,015638; 
5300; 7008055; 6999651; 7031418; 7003660; 7070605; 6973466; 7099651; 7022688; 7075837; 7093196; 7002756; 6994352; 7026119; 6998361; 7065306; 6968167; 7094352; 7017389; 7070538; 7087897; 0,023034; 0,022962; 0,023988; 0,023012; 0,023346; 0,011261; 0,029330; 0,021110; 0,018789; 0,021099; 
5400; 7361025; 7242561; 7293749; 7140052; 7289207; 7392824; 7352012; 7294834; 7344667; 7310385; 7355626; 7237162; 7288350; 7134653; 7283808; 7387425; 7346613; 7289435; 7339268; 7304986; 0,024063; 0,025998; 0,023000; 0,021979; 0,013218; 0,031320; 0,015609; 0,031262; 0,017306; 0,030902; 
5500; 7521763; 7591183; 7447398; 7622283; 7611285; 7583329; 7524730; 7687051; 7637801; 7490487; 7516264; 7585684; 7441899; 7616784; 7605786; 7577830; 7519231; 7681552; 7632302; 7484988; 0,020648; 0,030112; 0,023976; 0,024036; 0,023025; 0,019090; 0,015626; 0,031247; 0,016130; 0,015629; 
5600; 7814914; 7738037; 8023165; 7808896; 7938316; 7923751; 7826242; 7809171; 7835756; 7937056; 7809315; 7732438; 8017566; 7803297; 7932717; 7918152; 7820643; 7803572; 7830157; 7931457; 0,025992; 0,027015; 0,025002; 0,015352; 0,015625; 0,015624; 0,017136; 0,031258; 0,015625; 0,031250; 
5700; 8251816; 8132535; 8110063; 7995242; 8123090; 8227805; 7980636; 8040863; 8153036; 8162066; 8246117; 8126836; 8104364; 7989543; 8117391; 8222106; 7974937; 8035164; 8147337; 8156367; 0,026999; 0,027041; 0,025987; 0,026004; 0,017900; 0,015636; 0,031249; 0,015626; 0,031622; 0,031608; 
5800; 8628172; 8165073; 8308216; 8340847; 8419694; 8433884; 8380488; 8397652; 8326463; 8344745; 8622373; 8159274; 8302417; 8335048; 8413895; 8428085; 8374689; 8391853; 8320664; 8338946; 0,028215; 0,029989; 0,025995; 0,025988; 0,014324; 0,031250; 0,015698; 0,029714; 0,015705; 0,031248; 
5900; 8673707; 8744698; 8568309; 8656158; 8700546; 8803328; 8704959; 8654972; 8727437; 8649188; 8667808; 8738799; 8562410; 8650259; 8694647; 8797429; 8699060; 8649073; 8721538; 8643289; 0,029030; 0,028970; 0,027063; 0,019253; 0,025776; 0,031331; 0,015623; 0,031252; 0,024741; 0,021054; 
6000; 8945745; 8895962; 9025263; 9104292; 8966679; 8986027; 8981907; 9094535; 8994288; 9019881; 8939746; 8889963; 9019264; 9098293; 8960680; 8980028; 8975908; 9088536; 8988289; 9013882; 0,030063; 0,029935; 0,029062; 0,022922; 0,015620; 0,031250; 0,015628; 0,022280; 0,015625; 0,031262; 
6100; 9309484; 9360433; 9379356; 9417677; 9307285; 9382447; 9415610; 9220601; 9314213; 9335163; 9303385; 9354334; 9373257; 9411578; 9301186; 9376348; 9409511; 9214502; 9308114; 9329064; 0,033081; 0,031980; 0,027730; 0,020280; 0,031344; 0,015609; 0,031249; 0,022216; 0,031332; 0,031255; 
